Country Name,Series Name,2019values
Afghanistan,CO2_emissionstons per capita),0.297563651
Afghanistan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",52.41704109
Afghanistan,Population density (people per sq. km of land area),57.90825169
Afghanistan,GDP per capita (constant 2015 US$),584.3865153
Albania,CO2 emissions (metric tons per capita),1.749462457
Albania,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",18.63878032
Albania,Population density (people per sq. km of land area),104.1675547
Albania,GDP per capita (constant 2015 US$),4543.387723
Algeria,CO2 emissions (metric tons per capita),3.994401828
Algeria,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",32.83308539
Algeria,Population density (people per sq. km of land area),17.93031568
Algeria,GDP per capita (constant 2015 US$),4153.003441
American Samoa,CO2 emissions (metric tons per capita),..
American Samoa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",6.300155035
American Samoa,Population density (people per sq. km of land area),236.605
American Samoa,GDP per capita (constant 2015 US$),13288.35656
Andorra,CO2 emissions (metric tons per capita),6.287203804
Andorra,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.066401367
Andorra,Population density (people per sq. km of land area),162.4319149
Andorra,GDP per capita (constant 2015 US$),39413.79088
Angola,CO2 emissions (metric tons per capita),0.753638205
Angola,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",28.4208104
Angola,Population density (people per sq. km of land area),25.95138205
Angola,GDP per capita (constant 2015 US$),2569.701651
Antigua and Barbuda,CO2 emissions (metric tons per capita),5.525581597
Antigua and Barbuda,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.59200058
Antigua and Barbuda,Population density (people per sq. km of land area),209.3568182
Antigua and Barbuda,GDP per capita (constant 2015 US$),17599.96872
Argentina,CO2 emissions (metric tons per capita),3.742029812
Argentina,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.51118918
Argentina,Population density (people per sq. km of land area),16.42082662
Argentina,GDP per capita (constant 2015 US$),12716.2242
Armenia,CO2 emissions (metric tons per capita),2.196552367
Armenia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",33.65637939
Armenia,Population density (people per sq. km of land area),99.07277836
Armenia,GDP per capita (constant 2015 US$),4561.967803
Aruba,CO2 emissions (metric tons per capita),..
Aruba,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Aruba,Population density (people per sq. km of land area),591.3444444
Aruba,GDP per capita (constant 2015 US$),31762.73396
Australia,CO2 emissions (metric tons per capita),15.59572675
Australia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",6.745497859
Australia,Population density (people per sq. km of land area),3.294351419
Australia,GDP per capita (constant 2015 US$),58868.48063
Austria,CO2 emissions (metric tons per capita),7.263331201
Austria,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.16821803
